filename,title,description,feature,topic,role,level
./help/using/building-journeys/troubleshooting.md,Journey troubleshooting,Learn how to troubleshoot errors in journeys,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/about-journey-activities.md,About journey activities,Learn about journey activities,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/general-events.md,General events,Learn how to use general events,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/reaction-events.md,Reactions events,Learn about reaction events,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/segment-qualification-events.md,Segment qualification events,Learn about segment qualification events,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/condition-activity.md,Condition activity,Learn about condition activity,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/end-activity.md,End activity,Learn how to use the end activity,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/wait-activity.md,Wait activity,Learn about the wait activity,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/read-segment.md,Use a segment in a journey,Learn how to use a segment in a journey,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/journeys-message.md,Add a message in a journey,Add a message in a journey,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/using-custom-actions.md,Use custom actions,Learn how to use custom actions,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/jump.md,Jumping from one journey to another,Jumping from one journey to another,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/update-profiles.md,Update profile,Learn how to use the Update profile activity in a journey,Journeys,Content Management,User,Intermediate
./help/using/building-journeys/journeys-uc.md,Journeys use cases,Journeys use cases,Journeys,Content Management,User,Intermediate
./help/using/message-tracking.md,Track your messages,Learn how to track sent messages,Monitoring,Content Management,User,Intermediate
./help/using/message-monitoring.md,Monitor message execution,Learn monitoring guidelines,Monitoring,Content Management,User,Intermediate
./help/using/reports/live-report.md,Live report,Learn how to use data from the live report,Reporting,Content Management,User,Intermediate
./help/using/reports/journey-live-report.md,Journey ive report,Learn how to use data from the journey live report,Reporting,Content Management,User,Intermediate
./help/using/reports/email-live-report.md,Email live report,Learn how to use data from the email live report,Reporting,Content Management,User,Intermediate
./help/using/reports/push-live-report.md,Push notifications live report,Learn how to use data from the push notifications live report,Reporting,Content Management,User,Intermediate
./help/using/reports/global-report.md,Global report,Learn how to use data from the global report,Reporting,Content Management,User,Intermediate
./help/using/reports/journey-global-report.md,Journey global report,Learn how to use data from the journey global report,Reporting,Content Management,User,Intermediate
./help/using/reports/email-global-report.md,Email global report,Learn how to use data from the email global report,Reporting,Content Management,User,Intermediate
./help/using/reports/push-global-report.md,Push notifications global report,Learn how to use data from the push notifications global report,Reporting,Content Management,User,Intermediate
./help/using/reports/sharing-overview.md,Journey step sharing overview,Journey step sharing overview,Reporting,Content Management,User,Intermediate
./help/using/reports/sharing-journey-fields.md,journey fields,journey fields,Reporting,Content Management,User,Intermediate
./help/using/reports/sharing-common-fields.md,journeysteps events common fields,journeysteps events common fields,Reporting,Content Management,User,Intermediate
./help/using/reports/sharing-execution-fields.md,journeyStep events action execution fields,journeyStep events action execution fields,Reporting,Content Management,User,Intermediate
./help/using/reports/sharing-fetch-fields.md,journeyStep events data fetch fields,journeyStep events data fetch fields,Reporting,Content Management,User,Intermediate
./help/using/reports/sharing-identity-fields.md,journeyStep event identity fields,journeyStep event identity fields,Reporting,Content Management,User,Intermediate
./help/using/deliverability.md,Monitoring message execution,Learn monitoring and deliverability guidelines,Deliverability,Content Management,User,Intermediate
./help/using/suppression-list.md,Suppression list,"Learn what the suppression list is, its purpose and what is included in it.",Deliverability,Content Management,User,Intermediate
./help/using/offers/get-started/starting-offer-decisioning.md,Get started with Decision Management,"Get started with Decision Management. Learn more about its architecture, offers and decisions, as well as common use cases it allows you to perform.",Offers,Integrations,User,Beginner
./help/using/offers/get-started/user-interface.md,User interface,Learn more about the Offer Library User Interface.,Offers,Integrations,User,Intermediate
./help/using/offers/get-started/glossary.md,Offers Glossary,Glossary for Offers,Offers,Integrations,User,Intermediate
./help/using/offers/offer-library/key-steps.md,Key steps to create an offer,Discover the key steps that are required to create an offer.,Offers,Integrations,User,Intermediate
./help/using/offers/offer-library/creating-placements.md,Create placements,Learn how to create placements in Adobe Experience Platform.,Offers,Integrations,User,Intermediate
./help/using/offers/offer-library/creating-decision-rules.md,Create decision rules,Learn how to create decision rules in Adobe Experience Platform.,Offers,Integrations,User,Intermediate
./help/using/offers/offer-library/creating-tags.md,Create tags,Learn how to create offers in Adobe Experience Platform.,Offers,Integrations,User,Intermediate
./help/using/offers/offer-library/creating-personalized-offers.md,Create personalized offers,Learn how to create personalized offers in Adobe Experience Platform.,Offers,Integrations,User,Intermediate
./help/using/offers/offer-library/creating-fallback-offers.md,Create fallback offers,Learn how to create offers in Adobe Experience Platform.,Offers,Integrations,User,Intermediate
./help/using/offers/offer-library/creating-collections.md,Create collections,Learn how to organize offers using collections.,Offers,Integrations,User,Intermediate
./help/using/offers/offer-library/create-ranking-formulas.md,Create ranking formulas,Learn how to create ranking formulas in Adobe Experience Platform.,Offers,Integrations,User,Intermediate
./help/using/offers/offer-activities/create-offer-activities.md,Create decisions,Learn how to create decisions,Offers,Integrations,User,Intermediate
./help/using/offers/offer-activities/configure-offer-selection.md,Configure offers selection in decisions,Learn how to manage offers selection into decisions.,Offers,Integrations,User,Intermediate
./help/using/offers/reports/get-started-events.md,Get started with Decision Management events,Learn how to create Decision Management reports in Adobe Experience Platform.,Offers,Integrations,User,Beginner
./help/using/offers/reports/key-information.md,Decision Management events key information,Learn more about the key information sent with each Decision Management event.,Offers,Integrations,User,Intermediate
./help/using/offers/reports/xdm-fields.md,Access events XDM fields,Learn more about the DecisioningEvents XDM schema.,Offers,Integrations,User,Intermediate
./help/using/offers/export-catalog/get-started-export.md,Get started with offer catalog export,Learn how to export your offer catalog as a dataset.,Offers,Integrations,User,Intermediate
./help/using/offers/export-catalog/access-dataset.md,Access the exported offer catalog,Learn how to access the offer catalog on Adobe Experience Platform once it has been exported.,Offers,Integrations,User,Intermediate
./help/using/offers/export-catalog/export-offers.md,Personalized offers dataset,This section lists all the fields used in the exported dataset for offers.,Offers,Integrations,User,Intermediate
./help/using/offers/export-catalog/export-decisions.md,Get started with offer catalog export,This section lists all the fields used in the exported dataset for decisions.,Offers,Integrations,User,Intermediate
./help/using/offers/export-catalog/export-placements.md,Placements dataset,This section lists all the fields used in the exported dataset for placements.,Offers,Integrations,User,Intermediate
./help/using/offers/export-catalog/export-fallback.md,Fallback offers dataset,This section lists all the fields used in the exported dataset for fallback offers.,Offers,Integrations,User,Intermediate
./help/using/offers/api-reference/getting-started.md,Getting started,Learn how to start using the Offer Library API to perform key operations using the Decision Management Engine.,Offers,Integrations,User,Intermediate
./help/using/offers/api-reference/offers-api/placements/placements-list.md,List placements,Placements are containers that are used to showcase your offers.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/placements/lookup.md,Look up a placement,Placements are containers that are used to showcase your offers.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/placements/create.md,Create a placement,Placements are containers that are used to showcase your offers.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/placements/update.md,update a placement,Placements are containers that are used to showcase your offers.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/placements/delete.md,delete placements,Placements are containers that are used to showcase your offers.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/decision-rules/rules-list.md,List decision rules,Decision rules are constraints added to a personalized offer and applied to a profile to determine eligibility.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/decision-rules/lookup.md,Look up a decision rule,Decision rules are constraints added to a personalized offer and applied to a profile to determine eligibility.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/decision-rules/create.md,Create decision rules,Decision rules are constraints added to a personalized offer and applied to a profile to determine eligibility.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/decision-rules/update.md,Update decision rules,Decision rules are constraints added to a personalized offer and applied to a profile to determine eligibility.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/decision-rules/delete.md,Delete decision rules,Decision rules are constraints added to a personalized offer and applied to a profile to determine eligibility.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/tags/tags-list.md,List tags,Tags allow you to better organize and sort through your offers.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/tags/lookup.md,Look up a tag,Tags allow you to better organize and sort through your offers.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/tags/create.md,Create tags,Tags allow you to better organize and sort through your offers.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/tags/update.md,Update tags,Tags allow you to better organize and sort through your offers.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/tags/delete.md,Delete tags,Tags allow you to better organize and sort through your offers.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/personalized-offers/offers-list.md,List personalized offers,A personalized offer is a customizable marketing message based on eligibility rules and constraints.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/personalized-offers/lookup.md,List personalized offers,A personalized offer is a customizable marketing message based on eligibility rules and constraints.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/personalized-offers/create.md,Create personalized offers,A personalized offer is a customizable marketing message based on eligibility rules and constraints.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/personalized-offers/update.md,Update personalized offers,A personalized offer is a customizable marketing message based on eligibility rules and constraints.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/personalized-offers/delete.md,Delete personalized offers,A personalized offer is a customizable marketing message based on eligibility rules and constraints.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/collections/collections-list.md,List collections,"Collections are subsets of offers based on predefined conditions defined by a marketer, such as category of the offer.",Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/collections/lookup.md,Look up a collection,"Collections are subsets of offers based on predefined conditions defined by a marketer, such as category of the offer.",Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/collections/create.md,Create a collection,"Collections are subsets of offers based on predefined conditions defined by a marketer, such as category of the offer.",Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/collections/update.md,Update collections,"Collections are subsets of offers based on predefined conditions defined by a marketer, such as category of the offer.",Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/collections/delete.md,Delete a collection,"Collections are subsets of offers based on predefined conditions defined by a marketer, such as category of the offer.",Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/fallback-offers/fallback-list.md,List fallback offers,A fallback offer is sent to customers if they are not eligible for other offers,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/fallback-offers/lookup.md,lookup fallback offers,A fallback offer is sent to customers if they are not eligible for other offers,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/fallback-offers/create.md,Create a fallback offer,A fallback offer is sent to customers if they are not eligible for other offers,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/fallback-offers/update.md,Update a fallback offer,A fallback offer is sent to customers if they are not eligible for other offers,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/offers-api/fallback-offers/delete.md,Delete a fallback offer,A fallback offer is sent to customers if they are not eligible for other offers,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/activities-api/activities/activities-list.md,List decisions,A decision contains the logic that informs the selection of an offer.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/activities-api/activities/lookup.md,List decisions,A decision contains the logic that informs the selection of an offer.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/activities-api/activities/create.md,Create decisions,A decision contains the logic that informs the selection of an offer.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/activities-api/activities/update.md,Update decisions,A decision contains the logic that informs the selection of an offer.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/activities-api/activities/delete.md,Delete decisions,A decision contains the logic that informs the selection of an offer.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/decisions-api/deliver-offers.md,Deliver offers,Decision Management is a collection of services and UI programs that enables marketers to create and deliver end-user personalized offer experiences across channels and applications using business logic and decision rules.,Offers,Integrations,Data Engineer,Experienced
./help/using/offers/api-reference/web-sdk.md,Adobe Experience Platform Web SDK,The Adobe Experience Platform Web SDK allows you to retrieve and render personalized offers that you have created using APIs or the Offer Library.,Offers,Integrations,Data Engineer,Experienced
./help/using/configuration/get-started-configuration.md,Journey Optimizer settings and configuration guidelines,Learn message and journey configuration guidelines,Application Settings,Administration,Administrator,Intermediate
./help/using/administration/administration.md,Technical settings,Learn administration and settings guidelines,Application Settings,Administration,Administrator,Intermediate
./help/using/configuration/message-presets.md,Create message presets,Learn how to configure and monitor message presets,Application Settings,Administration,Administrator,Intermediate
./help/using/push-configuration.md,Push notification configuration,Learn how to configure your environment to send push notifications with Journey Optimizer,Application Settings,Administration,Administrator,Intermediate
./help/using/push-gs.md,Get started with push configuration,Understand push notification data flow and components,Application Settings,Administration,Administrator,Intermediate
./help/using/configuration/about-subdomain-delegation.md,Delegate subdomains,Learn how to delegate your subdomains,Application Settings,Administration,Administrator,Intermediate
./help/using/configuration/delegate-subdomain.md,Delegate subdomains,Learn how to delegate your subdomains,Application Settings,Administration,Administrator,Intermediate
./help/using/configuration/access-subdomains.md,Delegate subdomains,Learn how to delegate your subdomains,Application Settings,Administration,Administrator,Intermediate
./help/using/configuration/google-txt.md,Delegate subdomains,Learn how to delegate your subdomains,Application Settings,Administration,Administrator,Intermediate
./help/using/configuration/ptr-records.md,PTR records,Learn how to manage ptr-records,Application Settings,Administration,Administrator,Intermediate
./help/using/configuration/ip-pools.md,Create IP pools,Learn how to manage ip-pools,Application Settings,Administration,Administrator,Intermediate
./help/using/configuration/manage-suppression-list.md,Manage the suppression list,Learn how to access and manage the Journey Optimizer suppression list ,Application Settings,Administration,Administrator,Intermediate
./help/using/configuration/retries.md,Retries,Learn how retries are performed before sending an address to the suppression list,Application Settings,Administration,Administrator,Intermediate
./help/using/configuration/primary-email-addresses.md,General message settings,Learn how to set email addresses,Application Settings,Administration,Administrator,Intermediate
./help/using/configuration/about-data-sources-events-actions.md,Administration and settings,Learn administration and settings guidelines,Application Settings,Administration,Administrator,Intermediate
./help/using/event/about-events.md,About events,Learn about events,Events,Administration,Administrator,Intermediate
./help/using/event/about-creating.md,Configure a unitary event,Learn how to configure a unitary event,Events,Administration,Administrator,Intermediate
./help/using/event/experience-event-schema.md,About ExperienceEvent Schemas for journey events,Learn about ExperienceEvent Schemas for journey events,Schemas,Administration,Administrator,Intermediate
./help/using/event/about-analytics.md,About Adobe Analytics data,Learn how to leverage Adobe Analytics data,Events,Administration,Administrator,Intermediate
./help/using/event/about-creating-business.md,Configure a business event,Learn how to create a business event,Events,Administration,Administrator,Intermediate
./help/using/event/additional-steps-to-send-events-to-journey-orchestration.md,Additional steps to send events to a journey,Learn additional steps to send events to a journey,Events,Administration,Administrator,Intermediate
./help/using/datasource/about-data-sources.md,About data sources,Learn how to configure a data source,Data Sources,Administration,Administrator,Intermediate
./help/using/datasource/configure-data-sources.md,Configure a data source,Learn how to configure a data source,Data Sources,Administration,Administrator,Intermediate
./help/using/datasource/adobe-experience-platform-data-source.md,Adobe Experience Platform data source ,Learn how to configure Adobe Experience Platform data source,Data Sources,Administration,Administrator,Intermediate
./help/using/datasource/external-data-sources.md,External data sources ,Learn how to configure external data sources,Data Sources,Administration,Administrator,Intermediate
./help/using/action/action.md,About actions,Learn how to configure an action,Actions,Administration,Administrator,Intermediate
./help/using/action/about-custom-action-configuration.md,About custom action configuration,Learn how to configure a custom action,Actions,Administration,Administrator,Intermediate
./help/using/administration/permissions-overview.md,User management overview,Learn about permissions,Control Groups,Administration,Administrator,Intermediate
./help/using/administration/ootb-product-profiles.md,Built-in product profiles,Learn about the built-in product profiles,Control Groups,Administration,Administrator,Intermediate
./help/using/administration/permissions.md,Manage users and product profiles,Learn how to manage permissions,Control Groups,Administration,Administrator,Intermediate
./help/using/administration/high-low-permissions.md,Permission levels,Learn about high and low level permissions,Control Groups,Administration,Administrator,Intermediate
./help/using/administration/sandboxes.md,Sandboxes management,Learn how to manage sandboxes,Control Groups,Administration,Administrator,Intermediate
